epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7667,1.54384,2.13125,1.36499,0.73665,0.39337,0.43676,0.25642,1.75437,2.08013,1.39957,0.000659341,0.000659341,0.000659341
2,34.7365,1.61412,1.6854,1.40429,0.66584,0.38194,0.40673,0.21023,1.95249,1.72246,1.5984,0.00129975,0.00129975,0.00129975
3,50.9675,1.66507,1.59746,1.42099,0.15743,0.07292,0.04344,0.02189,2.48532,3.07877,1.92568,0.00191376,0.00191376,0.00191376
4,66.9578,1.63511,1.55033,1.40854,0.71378,0.45139,0.49668,0.26133,1.76783,1.57397,1.42502,0.0018812,0.0018812,0.0018812
5,85.8282,1.62538,1.49133,1.38932,0.6908,0.40339,0.43196,0.24488,1.8939,1.71129,1.48665,0.0018416,0.0018416,0.0018416
6,103.586,1.64552,1.45622,1.37586,0.68128,0.47743,0.51305,0.27876,1.71954,1.81428,1.39668,0.001802,0.001802,0.001802
7,120.956,1.58054,1.37493,1.35858,0.72452,0.54167,0.58196,0.31,1.75268,1.38624,1.40935,0.0017624,0.0017624,0.0017624
8,136.82,1.54185,1.3218,1.34188,0.81306,0.52257,0.59383,0.32949,1.74345,1.24088,1.39677,0.0017228,0.0017228,0.0017228
9,152.552,1.52995,1.25891,1.35529,0.78568,0.53462,0.60588,0.31739,1.83617,1.20757,1.42601,0.0016832,0.0016832,0.0016832
10,168.163,1.49896,1.25084,1.32673,0.75229,0.46925,0.52779,0.28021,1.84082,1.51697,1.45148,0.0016436,0.0016436,0.0016436
11,183.764,1.48536,1.19653,1.31667,0.81259,0.56597,0.62476,0.34803,1.69496,1.30865,1.36876,0.001604,0.001604,0.001604
12,200.102,1.52181,1.2244,1.33204,0.83192,0.52418,0.61551,0.34258,1.73505,1.1822,1.38569,0.0015644,0.0015644,0.0015644
13,216.58,1.49637,1.19062,1.30945,0.80423,0.53819,0.60708,0.32591,1.69243,1.31321,1.35048,0.0015248,0.0015248,0.0015248
14,232.376,1.45714,1.15344,1.29581,0.75949,0.56076,0.6105,0.32877,1.73455,1.22735,1.36828,0.0014852,0.0014852,0.0014852
15,246.687,1.50233,1.17577,1.3313,0.87173,0.50734,0.61592,0.34639,1.71448,1.28453,1.36147,0.0014456,0.0014456,0.0014456
16,257.794,1.45811,1.11687,1.28361,0.82729,0.54885,0.63833,0.35913,1.66978,1.08384,1.33106,0.001406,0.001406,0.001406
17,268.898,1.47067,1.12402,1.28162,0.84659,0.58441,0.65834,0.36666,1.70489,1.09821,1.36323,0.0013664,0.0013664,0.0013664
18,279.968,1.44932,1.09022,1.27482,0.84351,0.57082,0.64549,0.36518,1.72448,1.12606,1.32687,0.0013268,0.0013268,0.0013268
19,291.464,1.44689,1.10732,1.27498,0.80311,0.58775,0.66128,0.36309,1.7384,1.03654,1.39447,0.0012872,0.0012872,0.0012872
20,302.865,1.41181,1.04737,1.26444,0.79639,0.5816,0.65184,0.36879,1.66486,1.02889,1.33699,0.0012476,0.0012476,0.0012476
21,314.152,1.38027,1.0333,1.25747,0.79846,0.59722,0.6609,0.38448,1.61936,1.09134,1.31938,0.001208,0.001208,0.001208
22,330.146,1.41692,1.02405,1.26383,0.84819,0.57639,0.66324,0.37014,1.67742,1.06643,1.32957,0.0011684,0.0011684,0.0011684
23,341.948,1.42609,1.06318,1.27331,0.82837,0.60069,0.66749,0.37071,1.67249,1.06645,1.33025,0.0011288,0.0011288,0.0011288
24,353.465,1.38399,1.01791,1.24273,0.86648,0.56944,0.66331,0.37477,1.65876,0.9856,1.30186,0.0010892,0.0010892,0.0010892
25,364.752,1.40172,1.02146,1.24968,0.85565,0.57986,0.67187,0.37123,1.63639,1.07736,1.34251,0.0010496,0.0010496,0.0010496
26,376.192,1.38484,0.98599,1.23824,0.86685,0.60938,0.6976,0.38497,1.66492,0.97877,1.34636,0.00101,0.00101,0.00101
27,387.186,1.37414,1.00143,1.26663,0.86234,0.61111,0.69144,0.38534,1.62603,1.02838,1.31263,0.0009704,0.0009704,0.0009704
28,398.121,1.38715,0.98468,1.24111,0.86155,0.58333,0.66831,0.38371,1.64281,0.94686,1.31299,0.0009308,0.0009308,0.0009308
29,409.035,1.3324,0.95565,1.22694,0.84269,0.61806,0.69582,0.4038,1.59834,0.92863,1.27772,0.0008912,0.0008912,0.0008912
30,420.142,1.3143,0.91642,1.22188,0.87609,0.62602,0.70035,0.39232,1.60194,1.02028,1.29382,0.0008516,0.0008516,0.0008516
