epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1003,0.51339,1.56214,1.02863,0.95904,0.68873,0.8346,0.76185,0.53365,2.29323,1.01581,0.000659004,0.000659004,0.000659004
2,32.152,0.5606,1.00688,1.03021,0.77672,0.7418,0.79943,0.69157,0.57111,1.32799,1.04589,0.00129942,0.00129942,0.00129942
3,48.2014,0.59154,0.84302,1.03527,0.83161,0.87151,0.87203,0.77035,0.51368,1.0868,0.99001,0.00191344,0.00191344,0.00191344
4,64.7027,0.58487,0.73773,1.04444,0.89696,0.91176,0.9049,0.79214,0.52865,0.72552,1.00113,0.0018812,0.0018812,0.0018812
5,80.6081,0.56543,0.67749,1.04024,0.87331,0.83824,0.87203,0.79591,0.45218,1.09293,0.95578,0.0018416,0.0018416,0.0018416
6,95.4713,0.51654,0.59264,1.00884,0.94357,0.86064,0.91442,0.8347,0.46817,0.69437,0.95236,0.001802,0.001802,0.001802
7,110.226,0.51987,0.58437,1.00775,0.91907,0.83508,0.88494,0.76374,0.57497,0.67507,1.13594,0.0017624,0.0017624,0.0017624
8,124.956,0.51304,0.54437,0.99703,0.93669,0.875,0.91578,0.85915,0.40917,0.54523,0.93375,0.0017228,0.0017228,0.0017228
9,140.833,0.49203,0.52346,0.99618,0.95131,0.86191,0.90861,0.84656,0.40703,0.49998,0.93438,0.0016832,0.0016832,0.0016832
10,157.185,0.46893,0.50061,0.97817,0.92984,0.87705,0.92875,0.86242,0.41122,0.50339,0.93599,0.0016436,0.0016436,0.0016436
11,172.118,0.45028,0.49567,0.9701,0.93794,0.88899,0.928,0.8792,0.37528,0.45096,0.90635,0.001604,0.001604,0.001604
12,187.067,0.44313,0.46223,0.9638,0.95343,0.90324,0.92853,0.88152,0.37094,0.52839,0.91546,0.0015644,0.0015644,0.0015644
13,201.87,0.43634,0.46118,0.96164,0.94955,0.86765,0.92843,0.88047,0.34742,0.46294,0.86808,0.0015248,0.0015248,0.0015248
14,216.735,0.42041,0.44088,0.95593,0.93968,0.91635,0.91543,0.86878,0.36025,0.4669,0.89175,0.0014852,0.0014852,0.0014852
15,231.507,0.42936,0.4372,0.96924,0.93964,0.9158,0.9347,0.87697,0.37611,0.45846,0.90068,0.0014456,0.0014456,0.0014456
16,246.421,0.4146,0.43747,0.95952,0.93937,0.91144,0.93761,0.88312,0.36461,0.44749,0.88847,0.001406,0.001406,0.001406
17,261.294,0.40478,0.40435,0.94943,0.95384,0.91912,0.92417,0.89444,0.30362,0.41712,0.84697,0.0013664,0.0013664,0.0013664
18,276.195,0.39175,0.40659,0.94295,0.96177,0.88971,0.92331,0.877,0.33386,0.47219,0.87646,0.0013268,0.0013268,0.0013268
19,290.9,0.40361,0.42083,0.95044,0.94685,0.91689,0.9248,0.87537,0.32449,0.44002,0.86204,0.0012872,0.0012872,0.0012872
20,305.707,0.39548,0.41237,0.94502,0.93032,0.91176,0.91826,0.87662,0.32039,0.44595,0.86391,0.0012476,0.0012476,0.0012476
21,320.616,0.37538,0.38667,0.93564,0.94635,0.92647,0.93182,0.90041,0.30077,0.40015,0.8523,0.001208,0.001208,0.001208
22,335.445,0.38718,0.39436,0.94499,0.9511,0.93382,0.95225,0.91833,0.28654,0.36883,0.83957,0.0011684,0.0011684,0.0011684
23,350.293,0.37695,0.3879,0.94027,0.95764,0.90441,0.9237,0.89147,0.31872,0.4736,0.87226,0.0011288,0.0011288,0.0011288
24,365.095,0.36687,0.38587,0.93875,0.95496,0.93382,0.94562,0.91976,0.2726,0.36238,0.82904,0.0010892,0.0010892,0.0010892
25,380.012,0.36851,0.37464,0.93479,0.96698,0.91176,0.93743,0.90836,0.30015,0.40376,0.85523,0.0010496,0.0010496,0.0010496
26,394.843,0.3717,0.37572,0.93189,0.94733,0.92585,0.94063,0.91121,0.29845,0.38132,0.85536,0.00101,0.00101,0.00101
27,409.736,0.35336,0.35315,0.92815,0.95995,0.92647,0.9369,0.91173,0.28364,0.37901,0.83655,0.0009704,0.0009704,0.0009704
28,424.627,0.36798,0.36455,0.93484,0.95879,0.91176,0.94075,0.91388,0.3004,0.3932,0.85676,0.0009308,0.0009308,0.0009308
29,439.731,0.35074,0.35855,0.93166,0.95134,0.91176,0.94993,0.93094,0.26784,0.39825,0.82992,0.0008912,0.0008912,0.0008912
30,454.614,0.35397,0.34984,0.93025,0.96165,0.92185,0.94282,0.92316,0.27406,0.37326,0.84167,0.0008516,0.0008516,0.0008516
31,469.57,0.34255,0.35442,0.9247,0.96675,0.92647,0.9381,0.91779,0.25308,0.39568,0.83458,0.000812,0.000812,0.000812
32,484.337,0.33818,0.33301,0.92193,0.96836,0.92647,0.94379,0.92064,0.27381,0.33416,0.83841,0.0007724,0.0007724,0.0007724
33,499.398,0.33198,0.32637,0.92394,0.95326,0.92647,0.94363,0.93079,0.22569,0.32628,0.80822,0.0007328,0.0007328,0.0007328
34,514.466,0.32048,0.32849,0.91594,0.96208,0.93269,0.94203,0.91994,0.26409,0.37536,0.83862,0.0006932,0.0006932,0.0006932
35,529.393,0.31897,0.31913,0.91209,0.96164,0.92163,0.9479,0.92579,0.27138,0.32166,0.84918,0.0006536,0.0006536,0.0006536
36,544.18,0.3137,0.32025,0.90973,0.94761,0.9309,0.94244,0.92127,0.23656,0.32056,0.82151,0.000614,0.000614,0.000614
37,558.82,0.31396,0.31541,0.90988,0.97406,0.92647,0.94214,0.91567,0.26183,0.36044,0.84385,0.0005744,0.0005744,0.0005744
38,573.588,0.30273,0.29556,0.90939,0.95323,0.92647,0.93893,0.91657,0.25556,0.36633,0.83503,0.0005348,0.0005348,0.0005348
39,588.614,0.31608,0.30784,0.91252,0.96533,0.92647,0.94341,0.9195,0.2336,0.35098,0.81141,0.0004952,0.0004952,0.0004952
40,603.759,0.30405,0.30367,0.91248,0.95301,0.93382,0.94729,0.92907,0.23284,0.33286,0.82184,0.0004556,0.0004556,0.0004556
41,625.687,0.23838,0.24607,0.83498,0.9615,0.93382,0.93096,0.90628,0.25341,0.33264,0.82855,0.000416,0.000416,0.000416
42,640.764,0.22547,0.23985,0.82175,0.96234,0.93944,0.93714,0.90953,0.26063,0.32976,0.83611,0.0003764,0.0003764,0.0003764
43,656.025,0.22558,0.23329,0.82587,0.96916,0.92436,0.941,0.91523,0.2524,0.32732,0.84289,0.0003368,0.0003368,0.0003368
44,671.95,0.21649,0.22779,0.81782,0.96124,0.93382,0.93288,0.91039,0.24575,0.32179,0.83646,0.0002972,0.0002972,0.0002972
45,687.114,0.21132,0.21904,0.81573,0.9618,0.9256,0.9354,0.91366,0.22175,0.31299,0.81262,0.0002576,0.0002576,0.0002576
46,702.307,0.20546,0.22172,0.81882,0.96072,0.92647,0.93301,0.91853,0.23448,0.32165,0.83177,0.000218,0.000218,0.000218
47,717.447,0.20036,0.2118,0.81155,0.9694,0.93183,0.93824,0.91861,0.21607,0.30503,0.81988,0.0001784,0.0001784,0.0001784
48,732.426,0.19617,0.20319,0.81097,0.96,0.93382,0.9338,0.91688,0.20715,0.30146,0.81443,0.0001388,0.0001388,0.0001388
49,747.359,0.19062,0.19645,0.80417,0.96941,0.9322,0.93486,0.91796,0.20993,0.29313,0.81994,9.92e-05,9.92e-05,9.92e-05
50,762.395,0.1867,0.19228,0.80941,0.96212,0.93377,0.93594,0.91591,0.20344,0.29591,0.81605,5.96e-05,5.96e-05,5.96e-05
